open,high,low,close,volume,datetime
192.3199,192.3588,192.3185,192.355,23375,2023-12-27 17:19:00
192.355,192.4,192.3224,192.325,78255,2023-12-27 17:20:00
192.32,192.33,192.26,192.303,52922,2023-12-27 17:21:00
192.3,192.43,192.3,192.4201,78359,2023-12-27 17:22:00
192.43,192.47,192.4115,192.46,75201,2023-12-27 17:23:00
192.4556,192.46,192.3601,192.3601,166862,2023-12-27 17:24:00
192.37,192.4,192.315,192.34,53413,2023-12-27 17:25:00
192.3434,192.45,192.335,192.4427,48038,2023-12-27 17:26:00
192.4449,192.45,192.41,192.43,42399,2023-12-27 17:27:00
192.44,192.53,192.44,192.5,105739,2023-12-27 17:28:00
192.49,192.5,192.46,192.48,43337,2023-12-27 17:29:00
192.475,192.55,192.4701,192.52,73545,2023-12-27 17:30:00
192.52,192.661,192.51,192.6305,97440,2023-12-27 17:31:00
192.635,192.682,192.6,192.65,106807,2023-12-27 17:32:00
192.65,192.655,192.6,192.63,59474,2023-12-27 17:33:00
192.635,192.71,192.635,192.7078,120688,2023-12-27 17:34:00
192.71,192.71,192.66,192.69,52352,2023-12-27 17:35:00
192.69,192.7,192.64,192.68,62376,2023-12-27 17:36:00
192.675,192.6973,192.63,192.68,46888,2023-12-27 17:37:00
192.67,192.68,192.635,192.68,39956,2023-12-27 17:38:00
192.6799,192.6799,192.57,192.6401,63884,2023-12-27 17:39:00
192.65,192.693,192.55,192.5651,87476,2023-12-27 17:40:00
192.56,192.58,192.5001,192.5602,89846,2023-12-27 17:41:00
192.5652,192.575,192.46,192.485,107957,2023-12-27 17:42:00
192.5,192.535,192.48,192.5046,64834,2023-12-27 17:43:00
192.505,192.555,192.49,192.549,46107,2023-12-27 17:44:00
192.545,192.6485,192.5201,192.64,78758,2023-12-27 17:45:00
192.64,192.65,192.551,192.616,37545,2023-12-27 17:46:00
192.615,192.7,192.615,192.695,59936,2023-12-27 17:47:00
192.695,192.75,192.69,192.735,79200,2023-12-27 17:48:00
192.7366,192.75,192.7098,192.7264,73497,2023-12-27 17:49:00
192.7215,192.74,192.66,192.67,59543,2023-12-27 17:50:00
192.675,192.675,192.62,192.6202,32177,2023-12-27 17:51:00
192.63,192.63,192.5401,192.5742,35688,2023-12-27 17:52:00
192.575,192.59,192.55,192.57,30150,2023-12-27 17:53:00
192.5637,192.605,192.5637,192.5899,31214,2023-12-27 17:54:00
192.5801,192.6,192.57,192.59,21819,2023-12-27 17:55:00
192.59,192.61,192.57,192.57,46306,2023-12-27 17:56:00
192.57,192.62,192.56,192.615,49994,2023-12-27 17:57:00
192.616,192.68,192.616,192.645,35039,2023-12-27 17:58:00
192.645,192.65,192.6202,192.64,20520,2023-12-27 17:59:00
192.64,192.705,192.64,192.69,29278,2023-12-27 18:00:00
192.68,192.73,192.68,192.72,43031,2023-12-27 18:01:00
192.7149,192.81,192.685,192.81,119893,2023-12-27 18:02:00
192.8016,192.84,192.7901,192.812,95672,2023-12-27 18:03:00
192.8179,192.88,192.7942,192.83,84715,2023-12-27 18:04:00
192.8297,192.87,192.78,192.8099,90405,2023-12-27 18:05:00
192.81,193.06,192.77,192.92,314238,2023-12-27 18:06:00
192.92,192.97,192.855,192.87,103714,2023-12-27 18:07:00
192.87,193.04,192.855,192.9727,114222,2023-12-27 18:08:00
192.97,192.98,192.9,192.95,73919,2023-12-27 18:09:00
192.95,193.0247,192.93,193.0,64021,2023-12-27 18:10:00
193.0001,193.1,192.84,193.03,157515,2023-12-27 18:11:00
